Cation,CN
K,7
K,6
K,7
K,8
K,8
K,7
K,6
K,9
K,7
K,8
K,7
K,7
K,7
K,5
K,7
K,7
K,8
K,8
K,6
K,7
K,7
K,7
K,7
K,9
K,6
K,7
K,6
K,9
K,8
K,7
K,10
K,7
K,8
K,9
K,8
K,8
K,8
K,6
K,5
K,7
K,7
K,8
K,7
K,8
K,7
K,7
K,9
K,8
K,6
K,8
K,9
K,7
K,8
K,7
K,8
K,8
K,7
K,7
K,8
K,6
K,5
K,7
K,4
K,9
K,7
K,6
K,5
K,6
K,7
K,8
K,8
K,6
K,6
K,6
K,7
K,7
K,6
K,6
K,7
K,7
K,7
K,7
K,9
K,7
K,7
K,7
K,7
K,8
K,6
K,8
K,7
K,6
K,8
K,7
K,7
K,7
K,8
K,7
K,7
K,7
K,7
K,7
K,8
K,10
K,8
K,9
K,8
K,9
K,7
K,7
K,6
K,6
K,7
K,7
K,8
K,7
K,7
K,7
K,6
K,9
K,7
K,6
K,7
K,8
K,7
K,9
K,7
K,8
K,9
K,8
K,8
K,8
K,6
K,5
K,8
K,5
K,9
K,9
K,8
K,7
K,6
K,7
K,8
K,7
K,8
K,8
K,4
K,5
K,7
K,8
K,7
K,7
K,5
K,7
K,7
K,9
K,6
K,7
K,7
K,7
K,7
K,7
K,8
K,7
K,6
K,6
K,7
K,7
K,6
K,7
K,9
K,7
K,7
K,8
K,9
K,8
K,8
K,7
K,9
K,7
K,8
K,9
K,8
K,6
K,7
K,7
K,6
K,7
K,8
K,6
K,7
K,7
K,9
K,8
K,5
K,6
K,9
K,6
K,7
K,8
K,7
K,7
K,7
K,8
K,7
K,6
K,7
K,5
K,7
K,7
K,7
K,7
K,6
K,6
K,6
K,9
K,7
K,8
K,9
K,6
K,6
K,7
K,8
K,7
K,8
K,5
K,7
K,6
K,9
K,6
K,7
K,8
K,7
K,6
K,8
K,7
K,7
K,7
K,7
K,8
K,6
K,5
K,8
K,8
K,7
K,7
K,7
K,9
K,7
K,7
K,8
K,8
K,8
K,7
K,8
K,7
K,6
K,7
K,7
K,7
K,8
K,8
K,6
K,8
K,8
K,9
K,8
K,6
K,7
K,8
K,7
K,9
K,8
K,7
K,7
K,7
K,7
K,7
K,7
K,7
K,7
K,8
K,7
K,8
K,6
K,9
K,6
K,9
K,8
K,7
K,8
K,7
K,6
K,6
K,6
K,7
K,7
K,8
K,6
K,7
K,6
K,7
K,7
K,6
K,8
K,7
K,5
K,7
K,7
K,5
K,8
K,7
K,8
K,6
K,7
K,8
K,7
K,6
K,7
K,7
K,5
K,8
K,9
K,8
K,8
K,7
K,7
K,8
K,5
K,7
K,7
K,7
K,8
K,8
K,8
K,6
K,8
K,8
K,7
K,9
K,6
K,7
K,9
K,7
K,9
K,7
K,9
K,8
K,7
K,8
K,6
K,6
K,7
K,6
K,7
K,7
K,7
K,6
K,8
K,7
K,7
K,7
K,7
K,8
K,8
K,6
K,6
K,7
K,5
K,7
K,9
K,6
K,8
K,6
K,7
K,7
K,7
K,7
K,7
K,5
K,7
K,7
K,7
K,8
K,7
K,7
K,5
K,7
K,8
K,6
K,7
K,7
K,7
K,6
K,8
K,8
K,6
K,7
K,8
K,7
K,8
K,7
K,8
K,7
K,8
K,10
K,6
K,8
K,6
K,8
K,8
K,6
K,8
K,6
K,7
K,7
K,8
K,8
K,7
K,7
K,8
K,7
K,8
K,6
K,8
K,6
K,7
K,7
K,9
K,7
K,8
K,8
K,6
K,7
K,7
K,7
K,8
K,8
K,5
K,6
K,9
K,5
K,9
K,7
K,8
K,8
K,6
K,8
K,7
K,8
K,7
K,8
K,6
K,8
K,7
K,6
K,7
K,6
K,8
K,7
K,8
K,7
K,5
K,6
K,7
K,6
K,6
K,7
K,7
K,7
K,7
K,9
K,7
K,9
K,7
K,9
K,8
K,6
K,8
K,5
K,8
K,6
K,8
K,6
K,8
K,7
K,6
K,7
K,8
K,7
K,7
K,7
K,8
K,8
K,8
K,8
K,7
K,9
K,8
K,7
K,8
K,9
K,8
K,8
K,6
K,8
K,7
K,7
K,7
K,7
K,6
K,7
K,6
K,8
K,7
K,9
K,6
K,7
K,7
K,5
K,8
K,8
K,7
K,6
K,7
K,5
K,8
K,8
K,7
K,7
K,6
K,7
K,7
K,8
K,6
K,7
K,5
K,9
K,8
K,6
K,7
K,9
K,9
K,8
K,8
K,7
K,10
K,7
K,8
K,6
K,7
K,8
K,6
K,6
K,6
K,8
K,7
K,5
K,7
K,6
K,7
K,8
K,6
K,6
K,8
K,8
K,7
K,8
K,8
K,7
K,9
K,7
K,7
K,7
K,9
K,8
K,7
K,5
K,7
K,8
K,7
K,6
K,6
K,8
K,7
K,6
K,9
K,7
K,10
K,5
K,8
K,8
K,6
K,6
K,8
K,6
K,7
K,7
K,7
K,9
K,8
K,7
K,7
K,6
K,7
K,6
K,8
K,6
K,7
K,4
K,9
K,8
K,7
K,6
K,8
K,9
K,8
K,9
K,8
K,8
K,7
K,7
K,7
K,7
K,7
K,7
K,6
K,6
K,8
K,7
K,6
K,9
K,5
K,7
K,6
K,7
K,6
K,7
K,8
K,7
K,8
K,9
K,7
K,9
K,7
K,7
K,8
K,8
K,7
K,6
K,10
K,7
K,7
K,8
K,5
K,7
K,8
K,8
K,6
K,8
K,7
K,10
K,7
K,6
K,8
K,7
K,8
K,8
K,6
K,7
K,6
K,6
K,8
K,5
K,8
K,7
K,7
K,7
K,5
K,8
K,7
K,8
K,7
K,6
K,6
K,7
K,6
K,8
K,9
K,8
K,9
K,9
K,8
K,7
K,7
K,7
K,5
K,7
K,7
K,7
K,6
K,6
K,6
K,6
K,9
K,5
K,8
K,6
K,7
K,6
K,7
K,9
K,7
K,6
K,9
K,9
K,8
K,7
K,5
K,7
K,9
K,7
K,7
K,7
K,6
K,7
K,7
K,6
K,7
K,8
K,6
K,7
K,7
K,8
K,10
K,6
K,7
K,7
K,7
K,7
K,7
K,7
K,8
K,6
K,7
K,7
K,7
K,7
K,8
K,7
K,7
K,4
K,8
K,7
K,9
K,8
K,6
K,6
K,9
K,8
K,7
K,8
K,8
K,8
K,8
K,9
K,7
K,9
K,7
K,5
K,9
K,6
K,8
K,6
K,6
K,7
K,6
K,8
K,6
K,7
K,6
K,8
K,7
K,6
K,8
K,7
K,7
K,9
K,8
K,7
K,7
K,6
K,6
K,7
K,7
K,6
K,7
K,6
K,8
K,8
K,7
K,8
K,8
K,5
K,8
K,7
K,6
K,9
K,6
K,8
K,6
K,6
K,7
K,7
K,7
K,8
K,5
K,7
K,7
K,8
K,7
K,8
K,7
K,7
K,5
K,7
K,7
K,7
K,8
K,7
K,7
K,8
K,7
K,7
K,8
K,8
K,9
K,7
K,8
K,7
K,7
K,7
K,5
K,8
K,6
K,7
K,6
K,7
K,7
K,6
K,7
K,6
K,7
K,7
K,6
K,7
K,7
K,8
K,7
K,8
K,9
K,8
K,8
K,10
K,6
K,5
K,8
K,6
K,6
K,7
K,5
K,7
K,8
K,7
K,7
K,7
K,6
K,8
K,6
K,6
K,9
K,7
K,6
K,4
K,7
K,7
K,6
K,8
K,7
K,5
K,9
K,7
K,8
K,7
K,8
K,7
K,6
K,5
K,7
K,8
K,8
K,6
K,6
K,7
K,10
K,8
K,8
K,9
K,7
K,8
K,6
K,8
K,8
K,8
K,8
K,5
K,6
K,6
K,8
K,6
K,9
K,6
K,8
K,7
K,6
K,9
K,7
K,7
K,6
K,7
K,7
K,8
K,9
K,9
K,7
K,8
K,8
K,8
K,6
K,8
K,6
K,7
K,8
K,7
K,6
K,9
K,7
K,6
K,8
K,5
K,5
K,6
K,6
K,9
K,6
K,6
K,6
K,6
K,7
K,6
K,7
K,7
K,6
K,7
K,8
K,8
K,7
K,7
K,7
K,6
K,6
K,6
K,8
K,8
K,7
K,7
K,7
K,8
K,7
K,8
K,8
K,7
K,5
K,7
K,7
K,8
K,8
K,6
K,6
K,7
K,7
K,6
K,5
K,7
K,7
K,8
K,7
K,7
K,8
K,7
K,8
K,6
K,8
K,8
K,7
K,8
K,8
K,7
K,7
K,7
K,8
K,7
K,9
K,6
K,7
K,7
K,7
K,7
K,8
K,7
K,4
K,7
K,6
K,6
K,6
K,6
K,9
K,6
K,6
K,8
K,5
K,7
K,6
K,8
K,9
K,6
K,6
K,8
K,7
K,7
K,6
K,8
K,6
K,6
K,6
K,9
K,6
K,8
K,6
K,7
K,9
K,8
K,10
K,7
K,8
K,8
K,7
K,8
K,8
K,7
K,6
K,6
K,7
K,6
K,7
K,4
K,8
K,6
K,7
K,9
K,7
K,8
K,7
K,7
K,8
K,7
K,8
K,7
K,8
K,8
K,7
K,8
K,7
K,7
K,7
K,9
K,7
K,5
K,8
K,7
K,8
K,7
K,6
K,5
K,7
K,6
K,6
K,6
K,5
K,8
K,8
K,7
K,7
K,6
K,7
K,6
K,8
K,8
K,5
K,7
K,7
K,9
K,5
K,6
K,8
K,6
K,6
K,8
K,9
K,6
K,8
K,7
K,6
K,8
K,6
K,9
K,6
K,6
K,6
K,7
K,7
K,8
K,9
K,6
K,8
K,7
K,7
K,6
K,7
K,6
K,7
K,7
K,8
K,7
K,8
K,7
K,6
K,8
K,7
K,7
K,8
K,8
K,8
K,8
K,9
K,6
K,8
K,6
K,7
K,7
K,7
K,8
K,7
K,9
K,7
K,7
K,5
K,7
K,6
K,6
K,6
K,6
K,8
K,7
K,8
K,8
K,6
K,7
K,5
K,8
K,10
K,5
K,6
K,7
K,8
K,6
K,8
K,7
K,7
K,5
K,8
K,9
K,8
K,9
K,9
K,6
K,8
K,8
K,8
K,6
K,6
K,8
K,7
K,6
K,7
K,8
K,6
K,8
K,7
K,8
K,7
K,6
K,6
K,7
K,8
K,9
K,7
K,9
K,7
K,6
K,8
K,7
K,8
K,8
K,8
K,7
K,8
K,8
K,7
K,8
K,8
K,8
K,7
K,6
K,9
K,7
K,8
K,8
K,7
K,5
K,7
K,7
K,7
K,6
K,7
K,8
K,6
K,6
K,8
K,7
K,7
K,6
K,8
K,8
K,5
K,7
K,9
K,8
K,6
K,7
K,7
K,7
K,7
K,6
K,8
K,6
K,7
K,8
K,9
K,7
K,7
K,8
K,7
K,6
K,7
K,7
K,6
K,7
K,7
K,6
K,8
K,6
K,10
K,7
K,6
K,6
K,7
K,9
K,8
K,6
K,9
K,7
K,7
K,7
K,7
K,6
K,8
K,8
K,8
K,9
K,8
K,7
K,8
K,6
K,7
K,7
K,7
K,7
K,7
K,8
K,7
K,7
K,6
K,6
K,7
K,6
K,7
K,7
K,8
K,6
K,6
K,9
K,7
K,7
K,7
K,7
K,9
K,4
K,8
K,8
K,6
K,6
K,7
K,8
K,8
K,5
K,5
K,8
K,6
K,8
K,8
K,8
K,7
K,8
K,7
K,7
K,6
K,9
K,6
K,6
K,8
K,8
K,7
K,8
K,7
K,8
K,8
K,7
K,6
K,8
K,7
K,5
K,6
K,9
K,7
K,8
K,7
K,7
K,7
K,7
K,8
K,8
K,7
K,8
K,9
K,6
K,5
K,7
K,8
K,8
K,6
K,8
K,8
K,8
K,7
K,6
K,6
K,6
K,6
K,7
K,6
K,8
K,7
K,7
K,9
K,8
K,7
K,6
K,7
K,9
K,6
K,7
K,7
K,7
K,9
K,7
K,8
K,7
K,6
K,6
K,8
K,7
K,7
K,7
K,8
K,8
K,8
K,6
K,7
K,5
K,9
K,7
K,6
K,8
K,10
K,6
K,8
K,7
K,9
K,7
K,7
K,8
K,8
K,8
K,5
K,6
K,7
K,7
K,8
K,7
K,7
K,7
K,7
K,8
K,7
K,6
K,9
K,8
K,7
K,7
K,8
K,7
K,8
K,9
K,8
K,7
K,9
K,6
K,7
K,8
K,7
K,7
K,5
K,6
K,8
K,7
K,7
K,8
K,7
K,6
K,5
K,8
K,7
K,6
K,6
K,8
K,6
K,9
K,7
K,8
K,7
K,6
K,7
K,7
K,5
K,7
K,7
K,8
K,7
K,8
K,8
K,7
K,7
K,9
K,8
K,9
K,9
K,8
K,7
K,8
K,8
K,9
K,6
K,6
K,8
K,9
K,9
K,6
K,6
K,8
K,6
K,8
K,7
K,7
K,8
K,7
K,9
K,7
K,7
K,8
K,9
K,7
K,7
K,8
K,7
K,7
K,9
K,7
K,7
K,9
K,5
K,8
K,7
K,6
K,8
K,7
K,6
K,7
K,5
K,7
K,9
K,6
K,6
K,5
K,7
K,7
K,6
K,6
K,7
K,6
K,9
K,7
K,8
K,7
K,7
K,7
K,8
K,7
K,7
K,5
K,7
K,8
K,7
K,9
K,7
K,7
K,8
K,8
K,10
K,6
K,9
K,7
K,6
K,8
K,7
K,7
K,5
K,9
K,8
K,9
K,6
K,6
K,8
K,7
K,8
K,7
K,6
K,6
K,7
K,9
K,8
K,8
K,8
K,10
K,9
K,7
K,8
K,7
K,7
K,7
K,8
K,6
K,8
K,6
K,8
K,7
K,6
K,8
K,6
K,7
K,8
K,6
K,7
K,7
K,8
K,6
K,5
K,7
K,7
K,7
K,7
K,7
K,6
K,8
K,5
K,7
K,8
K,8
K,6
K,7
K,6
K,9
K,7
K,7
K,7
K,7
K,9
K,6
K,7
K,7
K,8
K,9
K,7
K,11
K,6
K,6
K,8
K,8
K,7
K,5
K,7
K,8
K,5
K,6
K,7
K,7
K,7
K,8
K,9
K,8
K,7
K,6
K,8
K,8
K,7
K,7
K,9
K,9
K,6
K,8
K,7
K,7
K,8
K,7
K,6
K,8
K,7
K,8
K,7
K,6
K,6
K,5
K,6
K,8
K,6
K,6
K,7
K,9
K,5
K,5
K,6
K,5
K,6
K,7
K,8
K,7
K,6
K,7
K,6
K,8
K,8
K,7
K,9
K,7
K,7
K,8
K,6
K,7
K,8
K,7
K,7
K,7
K,7
K,8
K,10
K,7
K,8
K,6
K,7
K,8
K,8
K,7
K,8
K,8
K,8
K,5
K,7
K,7
K,8
K,6
K,8
K,8
K,7
K,7
K,7
K,8
K,8
K,6
K,7
K,8
K,10
K,7
K,7
K,7
K,8
K,8
K,6
K,6
K,7
K,7
K,7
K,5
K,6
K,7
K,6
K,7
K,8
K,9
K,7
K,8
K,8
K,5
K,7
K,6
K,4
K,6
K,7
K,7
K,7
K,8
K,7
K,7
K,8
K,7
K,7
K,6
K,7
K,7
K,7
K,7
K,7
K,8
K,6
K,7
K,7
K,8
K,7
K,10
K,7
K,7
K,6
K,8
K,7
K,9
K,8
K,7
K,7
K,8
K,7
K,7
K,7
K,8
K,7
K,8
K,7
K,7
K,6
K,7
K,8
K,7
K,8
K,7
K,8
K,8
K,6
K,8
K,7
K,8
K,8
K,7
K,6
K,5
K,7
K,7
K,6
K,6
K,7
K,6
K,6
K,8
K,7
K,6
K,7
K,9
K,5
K,7
K,7
K,5
K,5
K,7
K,7
K,7
K,8
K,7
K,8
K,8
K,6
K,6
K,8
K,7
K,6
K,6
K,7
K,7
K,6
K,7
K,7
K,7
K,7
K,7
K,8
K,7
K,7
K,6
K,7
K,7
K,9
K,7
K,8
K,6
K,7
K,7
K,6
K,8
K,8
K,5
K,9
K,6
K,6
K,7
K,7
K,8
K,7
K,8
K,8
K,8
K,7
K,6
K,7
K,7
K,8
K,8
K,9
K,7
K,9
K,6
K,8
K,9
K,6
K,6
K,7
K,8
K,7
K,6
K,7
K,7
K,8
K,6
K,6
K,7
K,5
K,6
K,7
K,7
K,7
K,8
K,6
K,6
K,7
K,6
K,7
K,8
K,7
K,7
K,6
K,7
K,7
K,7
K,7
K,8
K,6
K,8
K,7
K,8
K,7
K,8
K,6
K,8
K,7
K,9
K,7
K,8
K,6
K,6
K,8
K,7
K,8
K,9
K,5
K,9
K,6
K,5
K,7
K,8
K,8
K,7
K,7
K,7
K,7
K,8
K,8
K,6
K,7
K,8
K,7
K,9
K,7
K,9
K,7
K,9
K,9
K,6
K,7
K,7
K,7
K,8
K,6
K,7
K,9
K,8
K,6
K,6
K,7
K,5
K,6
K,6
K,8
K,7
K,8
K,8
K,9
K,8
K,6
K,7
K,9
K,7
K,8
K,7
K,7
K,7
K,7
K,8
K,9
K,6
K,8
K,7
K,7
K,7
K,10
K,6
K,7
K,8
K,9
K,9
K,7
K,4
K,7
K,8
K,7
K,8
K,9
K,5
K,9
K,7
K,5
K,8
K,7
K,8
K,9
K,7
K,6
K,6
K,5
K,8
K,7
K,7
K,7
K,8
K,8
K,7
K,9
K,6
K,7
K,9
K,8
K,7
K,6
K,7
K,9
K,5
K,7
K,8
K,8
K,7
K,6
K,7
K,6
K,6
K,6
K,8
K,6
K,8
K,7
K,9
K,7
K,6
K,6
K,9
K,7
K,7
K,8
K,8
K,7
K,6
K,7
K,8
K,8
K,7
K,6
K,6
K,6
K,9
K,6
K,7
K,8
K,8
K,8
K,6
K,5
K,8
K,8
K,8
K,7
K,8
K,7
K,9
K,7
K,5
K,7
K,7
K,8
K,8
K,7
K,6
K,6
K,5
K,7
K,7
K,7
K,8
K,7
K,7
K,7
K,8
K,7
K,6
K,9
K,7
K,7
K,6
K,9
K,9
K,6
K,8
K,8
K,8
K,6
K,7
K,8
K,7
K,6
K,7
K,7
K,7
K,7
K,8
K,7
K,7
K,6
K,6
K,9
K,9
K,6
K,7
K,8
K,7
K,6
K,7
K,5
K,8
K,8
K,5
K,9
K,6
K,8
K,8
K,7
K,6
K,8
K,9
K,6
K,6
K,7
K,8
K,8
K,8
K,8
K,7
K,9
K,9
K,5
K,7
K,8
K,8
K,8
K,8
K,7
K,7
K,9
K,7
K,7
K,7
K,7
K,7
K,6
K,8
K,8
K,7
K,7
K,5
K,6
K,8
K,8
K,8
K,8
K,8
K,8
K,8
K,8
K,7
K,7
K,9
K,6
K,5
K,6
K,9
K,8
K,5
K,8
K,7
K,7
K,7
K,6
K,8
K,7
K,6
K,7
K,7
K,7
K,6
K,7
K,8
K,8
K,9
K,6
K,9
K,6
K,8
K,8
K,8
K,8
K,8
K,7
K,8
K,7
K,6
K,9
K,7
K,8
K,8
K,7
K,8
K,8
K,6
K,7
K,9
K,7
K,7
K,8
K,8
K,7
K,7
K,8
K,7
K,7
K,8
K,8
K,6
K,7
K,8
K,6
K,7
K,6
K,7
K,7
K,9
K,6
K,8
K,6
K,8
K,7
K,8
K,8
K,6
K,6
K,6
K,6
K,7
K,8
K,7
K,6
K,7
K,8
K,7
K,6
K,6
K,8
K,6
K,5
K,7
K,6
K,6
K,7
K,8
K,7
K,9
K,9
K,5
K,8
K,7
K,7
K,8
K,8
K,8
K,6
K,7
K,5
K,6
K,6
K,7
K,6
K,7
K,8
K,7
K,8
K,10
K,6
K,7
K,8
K,7
K,7
K,8
K,6
K,7
K,7
K,7
K,6
K,6
K,8
K,8
K,7
K,8
K,9
K,6
K,7
K,6
K,7
K,7
K,9
K,8
K,8
K,5
K,9
K,9
K,7
K,8
K,6
K,6
K,7
K,7
K,8
K,7
K,5
K,7
K,7
K,8
K,8
K,7
K,7
K,8
K,6
K,6
K,7
K,7
K,6
K,7
K,7
K,8
K,10
K,7
K,5
K,8
K,6
K,7
K,8
K,7
K,9
K,7
K,6
K,7
K,7
K,6
K,7
K,7
K,9
K,9
K,8
K,8
K,9
K,6
K,6
K,7
K,7
K,7
K,8
K,7
K,6
K,7
K,7
K,6
K,6
K,9
K,8
K,9
K,9
K,9
K,6
K,5
K,6
K,7
K,7
K,9
K,6
K,9
K,6
K,8
K,9
K,8
K,8
K,5
K,8
K,7
K,8
K,8
K,7
K,6
K,7
K,7
K,7
K,9
K,6
K,8
K,7
K,5
K,7
K,8
K,7
K,6
K,8
K,8
K,7
K,7
K,6
K,5
K,8
K,6
K,8
K,8
K,7
K,8
K,8
K,7
K,7
K,7
K,6
K,8
K,6
K,7
K,9
K,8
K,8
K,8
K,6
K,7
K,8
K,8
K,8
K,8
K,7
K,6
K,6
K,8
K,6
K,7
K,8
K,8
K,6
K,9
K,9
K,7
K,8
K,6
K,7
K,8
K,7
K,6
K,9
K,7
K,8
K,9
K,7
K,7
K,5
K,8
K,8
K,6
K,8
K,6
K,7
K,7
K,6
K,8
K,9
K,6
K,7
K,7
K,6
K,7
K,7
K,7
K,6
K,9
K,7
K,7
K,7
K,6
K,5
K,9
K,7
K,9
K,5
K,7
K,7
K,8
K,6
K,8
K,8
K,6
K,7
K,6
K,7
K,9
K,7
K,8
K,7
K,6
K,7
K,7
K,7
K,6
K,7
K,7
K,6
K,7
K,7
K,6
K,7
K,8
K,8
K,7
K,7
K,7
K,7
K,7
K,6
K,8
K,8
K,6
K,7
K,9
K,7
K,7
K,8
K,8
K,6
K,5
K,7
K,8
K,6
K,8
K,6
K,6
K,8
K,8
K,8
K,9
K,7
K,6
K,7
K,6
K,6
K,6
K,7
K,6
K,8
K,7
K,7
K,5
K,7
K,5
K,8
K,7
K,9
K,5
K,6
K,8
K,9
K,7
K,8
K,8
K,7
K,8
K,7
K,7
K,9
K,7
K,8
K,6
K,6
K,5
K,6
K,7
K,6
K,6
K,7
K,5
K,7
K,7
K,6
K,7
K,8
K,7
K,9
K,6
K,7
K,7
K,6
K,6
K,7
K,7
K,6
K,7
K,10
K,7
K,6
K,7
K,8
K,7
K,6
K,7
K,7
K,6
K,8
K,6
K,7
K,9
K,7
K,8
K,8
K,7
K,8
K,8
K,6
K,6
K,7
K,7
K,7
K,7
K,7
K,6
K,5
K,6
K,6
K,10
K,7
K,8
K,5
K,6
K,8
K,9
K,8
K,7
K,9
K,7
K,7
K,7
K,7
K,8
K,8
K,8
K,6
K,6
K,5
K,7
K,8
K,7
K,7
K,7
K,8
K,7
K,8
K,6
K,7
K,7
K,6
K,8
K,7
K,7
K,7
K,7
K,7
K,7
K,8
K,6
K,7
K,8
K,7
K,6
K,7
K,8
K,7
K,6
K,6
K,7
K,5
K,7
K,6
K,7
K,8
K,7
K,6
K,8
K,7
K,8
K,9
K,6
K,6
K,6
K,5
K,6
K,8
K,8
K,7
K,6
K,6
K,6
K,8
K,8
K,9
K,5
K,8
K,8
K,9
K,9
K,7
K,7
K,6
K,7
K,7
K,6
K,9
K,8
K,8
K,6
K,8
K,5
K,6
K,7
K,7
K,7
K,7
K,7
K,7
K,8
K,6
K,8
K,7
K,6
K,8
K,7
K,9
K,7
K,6
K,8
K,8
K,7
K,6
K,7
K,8
K,7
K,8
K,6
K,7
K,7
K,6
K,8
K,8
K,5
K,7
K,6
K,7
K,7
K,7
K,6
K,8
K,8
K,7
K,7
K,7
K,5
K,5
K,6
K,8
K,7
K,7
K,7
K,7
K,6
K,6
K,8
K,8
K,9
K,7
K,8
K,7
K,9
K,7
K,7
K,7
K,6
K,7
K,7
K,7
K,8
K,7
K,8
K,8
K,7
K,6
K,7
K,8
K,8
K,7
K,9
K,8
K,8
K,8
K,6
K,7
K,7
K,7
K,8
K,8
K,8
K,7
K,7
K,8
K,8
K,8
K,7
K,8
K,8
K,7
K,10
K,7
K,7
K,6
K,6
K,7
K,7
K,6
K,7
K,6
K,7
K,7
K,7
K,7
K,7
K,8
K,7
K,6
K,7
K,6
K,5
K,7
K,7
K,6
K,9
K,7
K,7
K,6
K,7
K,8
K,8
K,9
K,7
K,8
K,7
K,8
K,8
K,8
K,8
K,6
K,8
K,7
K,7
K,7
K,7
K,9
K,7
K,6
K,7
K,6
K,7
K,9
K,7
K,9
K,7
K,8
K,8
K,7
K,8
K,8
K,6
K,7
K,7
K,7
K,7
K,7
K,7
K,8
K,8
K,7
K,7
K,8
K,6
K,9
K,8
K,6
K,6
K,5
K,6
K,8
K,7
K,7
K,7
K,6
K,7
K,7
K,8
K,8
K,8
K,7
K,6
K,7
K,6
K,6
K,7
K,8
K,6
K,6
K,6
K,7
K,6
K,8
K,9
K,8
K,9
K,6
K,8
K,7
K,9
K,9
K,7
K,7
K,6
K,8
K,6
K,8
K,7
K,6
K,7
K,7
K,7
K,8
K,6
K,7
K,9
K,7
K,7
K,7
K,9
K,8
K,7
K,8
K,6
K,6
K,7
K,8
K,7
K,7
K,7
K,6
K,8
K,8
K,8
K,7
K,7
K,6
K,9
K,8
K,6
K,6
K,5
K,7
K,7
K,6
K,8
K,8
K,6
K,8
K,7
K,7
K,7
K,8
K,7
K,7
K,6
K,6
K,5
K,6
K,9
K,4
K,7
K,6
K,8
K,6
K,6
K,9
K,8
K,8
K,6
K,8
K,7
K,9
K,8
K,7
K,7
K,6
K,8
K,7
K,7
K,7
K,7
K,8
K,7
K,7
K,8
K,7
K,6
K,8
K,8
K,8
K,7
K,7
K,8
K,7
K,7
K,6
K,7
K,6
K,8
K,7
K,7
K,8
K,7
K,8
K,8
K,8
K,7
K,8
K,6
K,8
K,7
K,8
K,8
K,5
K,8
K,9
K,6
K,7
K,6
K,6
K,6
K,9
K,7
K,8
K,8
K,8
K,7
K,7
K,7
K,5
K,5
K,7
K,6
K,7
K,6
K,7
K,5
K,6
K,8
K,8
K,8
K,6
K,9
K,7
K,11
K,7
K,8
K,6
K,6
K,8
K,7
K,7
K,6
K,6
K,8
K,7
K,7
K,7
K,7
K,6
K,9
K,6
K,9
K,6
K,6
K,6
K,6
K,7
K,6
K,9
K,6
K,8
K,6
K,7
K,8
K,7
K,8
K,9
K,6
K,7
K,8
K,6
K,8
K,7
K,8
K,5
K,5
K,7
K,8
K,6
K,8
K,8
K,6
K,7
K,8
K,6
K,8
K,7
K,8
K,7
K,6
K,7
K,6
K,5
K,6
K,7
K,9
K,7
K,7
K,5
K,5
K,8
K,7
K,7
K,6
K,8
K,7
K,8
K,8
K,9
K,7
K,6
K,8
K,7
K,7
K,7
K,8
K,8
K,7
K,7
K,6
K,7
K,6
K,8
K,7
K,9
K,6
K,6
K,8
K,5
K,7
K,6
K,8
K,6
K,8
K,6
K,8
K,6
K,8
K,7
K,7
K,8
K,7
K,8
K,6
K,9
K,7
K,7
K,6
K,5
K,8
K,7
K,5
K,8
K,8
K,8
K,9
K,8
K,7
K,6
K,8
K,8
K,7
K,6
K,5
K,7
K,6
K,7
K,6
K,8
K,8
K,7
K,5
K,5
K,9
K,7
K,8
K,7
K,8
K,7
K,8
K,8
K,9
K,6
K,6
K,8
K,7
K,7
K,8
K,8
K,7
K,8
K,7
K,6
K,7
K,6
K,9
K,6
K,7
K,6
K,7
K,10
K,6
K,7
K,7
K,7
K,7
K,8
K,7
K,7
K,7
K,7
K,7
K,7
K,8
K,7
K,8
K,6
K,8
K,6
K,7
K,8
K,8
K,8
K,6
K,6
K,7
K,6
K,8
K,9
K,6
K,7
K,7
K,8
K,8
K,8
K,6
K,5
K,7
K,6
K,8
K,8
K,9
K,7
K,6
K,5
K,6
K,9
K,9
K,9
K,8
K,8
K,8
K,7
K,8
K,7
K,6
K,6
K,8
K,7
K,7
K,7
K,8
K,8
K,9
K,7
K,5
K,7
K,7
K,8
K,6
K,6
K,7
K,7
K,9
K,7
K,6
K,7
K,7
K,6
K,8
K,6
K,6
K,6
K,7
K,8
K,7
K,7
K,5
K,8
K,7
K,9
K,7
K,8
K,8
K,8
K,7
K,6
K,6
K,7
K,5
K,7
K,9
K,7
K,7
K,7
K,8
K,6
K,8
K,6
K,6
K,5
K,7
K,7
K,6
K,7
K,7
K,6
K,8
K,8
K,8
K,9
K,8
K,7
K,7
K,7
K,7
K,8
K,7
K,6
K,7
K,8
K,8
K,7
K,7
K,8
K,6
K,9
K,7
K,6
K,7
K,7
K,6
K,8
K,7
K,7
K,7
K,8
K,7
K,7
K,7
K,7
K,7
K,8
K,6
K,8
K,6
K,7
K,7
K,7
K,6
K,7
K,8
K,6
K,9
K,6
K,9
K,7
K,6
K,6
K,6
K,6
K,8
K,6
K,8
K,8
K,8
K,7
K,9
K,7
K,6
K,7
K,5
K,6
K,7
K,8
K,7
K,7
K,7
K,7
K,6
K,8
K,5
K,7
K,8
K,9
K,6
K,6
K,8
K,8
K,8
K,8
K,6
K,6
K,7
K,8
K,7
K,6
K,8
K,6
K,9
K,7
K,6
K,8
K,7
K,6
K,9
K,9
K,6
K,6
K,8
K,6
K,6
K,7
K,8
